Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
J,"Jacobs Engineering Group Inc",107.84,+41.51,+20.05%,+13.52%,+20.55%,+17.10%
JBHT,"J B Hunt Transport",135.28,+23.24,+15.84%,+11.12%,-4.56%,+17.00%
JCI,"Johnson Controls Intl",46.04,+29.17,+13.09%,+9.07%,+11.48%,+7.49%
JKHY,"Jack Henry & Assoc",160.86,+3.12,+10.43%,+8.51%,-3.95%,+5.87%
JNJ,"Johnson & Johnson",144.68,+2.00,-0.82%,+5.52%,-5.83%,+5.23%
JNPR,"Juniper Networks",21.77,-9.39,-11.61%,+10.40%,-9.52%,-13.13%
JPM,"JP Morgan Chase & Company",117.88,-2.40,-15.44%,+20.24%,+14.70%,-10.53%
K,"Kellogg Company",63.91,-4.05,-7.59%,+1.62%,-9.40%,-1.86%
KEY,Keycorp,15.46,-9.11,-23.62%,+19.11%,+21.06%,-20.27%
KEYS,"Keysight Technologies Inc Comm",120.04,+26.18,+16.96%,+14.47%,+23.33%,+12.16%
KHC,"Kraft Heinz Company",32.94,+9.50,+2.52%,+7.68%,-5.56%,+8.00%
KIM,"Kimco Realty Corp",14.44,-44.27,-30.28%,+40.74%,+19.64%,-33.21%
KLAC,"K L A-Tencor Corp",251.97,+65.06,+41.42%,+27.79%,+20.79%,+53.77%
KMB,"Kimberly-Clark Corp",139.31,-0.22,+1.28%,+5.07%,-10.98%,+2.18%
KMI,"Kinder Morgan",14.38,-19.19,-32.07%,+20.84%,+1.41%,-26.67%
KMX,"Carmax Inc",93.48,+0.77,+6.63%,+8.14%,-12.84%,-3.89%
KO,"Coca-Cola Company",51.6,+0.77,-6.78%,+7.37%,+3.55%,-3.37%
KR,"Kroger Company",33,+15.62,+13.83%,+2.45%,-6.52%,+20.70%
KSU,"Kansas City Southern",186.17,+27.15,+21.55%,+5.69%,+1.04%,+22.14%
L,"Loews Corp",41.91,-6.08,-20.16%,+20.85%,+13.52%,-17.66%
LB,"L Brands Inc",38.81,+166.96,+114.18%,+21.24%,+30.81%,+102.77%
LDOS,"Leidos Holdings Inc",100.7,+6.16,+2.87%,+21.33%,+10.28%,+10.85%
LEG,"Leggett & Platt Inc",43.1,-7.26,-15.21%,+3.28%,+3.88%,-17.62%
LEN,"Lennar Corp",75.86,+40.24,+35.97%,+8.02%,-0.09%,+27.18%
LH,"Laboratory Corp of America Holdings",199.84,+26.06,+18.13%,+0.04%,+12.64%,+15.99%
LHX,"L3Harris Technologies Inc",191.99,+2.22,-2.97%,+19.17%,+6.73%,-4.53%
LIN,"Linde Plc",256.42,+30.47,+20.44%,+16.37%,+1.12%,+24.35%
LKQ,"LKQ Corp",35.22,+16.87,-1.34%,+10.10%,+7.97%,-0.17%
LLY,"Eli Lilly and Company",145.65,+13.99,+10.82%,+11.64%,-1.15%,+24.12%
LMT,"Lockheed Martin Corp",365,-6.19,-6.26%,+4.25%,-7.73%,-6.66%
LNC,"Lincoln National Corp",47.22,-12.54,-19.98%,+34.53%,+26.29%,-20.03%
LNT,"Alliant Energy Corp",52.6,+0.61,-3.87%,-4.85%,-3.17%,-0.75%
LOW,"Lowe's Companies",155.82,+44.33,+30.11%,-1.44%,-5.85%,+32.83%
LRCX,"Lam Research Corp",452.66,+89.21,+54.81%,+32.33%,+29.04%,+69.64%
LUMN,Centurylink,10.45,-19.55,-20.89%,+21.23%,-4.91%,-27.88%
LUV,"Southwest Airlines Company",46.34,+2.16,-14.15%,+17.23%,+19.40%,-19.60%
LVS,"Las Vegas Sands",55.71,-7.99,-19.31%,+15.92%,+6.81%,-11.22%
LW,"Lamb Weston Holdings Inc",72.38,+3.56,-15.87%,+14.07%,+12.76%,-13.81%
LYB,"Lyondellbasell Industries NV",85.1,+21.86,-9.93%,+24.32%,+24.87%,-8.04%
LYV,"Live Nation Entertainment",65.65,+8.87,-8.14%,+34.53%,+11.82%,-5.96%
MA,"Mastercard Inc",336.51,+20.16,+12.70%,+16.58%,-8.09%,+15.15%
MAA,"Mid-America Apartment Communities",126.16,+7.38,-4.32%,+8.17%,+7.68%,-7.31%
MAR,"Marriot Int Cl A",126.87,+1.96,-16.22%,+36.60%,+19.40%,-9.61%
MAS,"Masco Corp",53.67,+21.73,+11.84%,+0.13%,-8.32%,+15.30%
MCD,"McDonald's Corp",217.44,+14.47,+10.03%,+2.08%,+1.18%,+11.81%
MCHP,"Microchip Technology",134.39,+49.41,+28.33%,+27.89%,+21.60%,+42.15%
MCK,"Mckesson Corp",179.91,+33.09,+30.07%,+21.98%,+16.92%,+24.38%
MCO,"Moody's Corp",282.34,+16.10,+18.93%,+7.39%,-4.09%,+24.56%
MDLZ,"Mondelez Intl Inc",57.45,+8.95,+4.30%,+8.15%,-1.47%,+9.35%
MDT,"Medtronic Inc",113.7,+7.89,+0.22%,+13.06%,+5.41%,+2.07%
MET,"Metlife Inc",46.17,+0.77,-9.42%,+21.98%,+17.12%,-7.49%
MGM,"MGM Resorts International",28.25,+20.82,-15.09%,+37.34%,+18.40%,-11.58%
MHK,"Mohawk Industries",125.83,+25.29,-7.74%,+21.94%,+30.62%,-9.72%
MKC,"Mccormick & Company Inc",186.98,+10.50,+10.16%,+3.58%,-8.61%,+10.48%
MKTX,"Marketaxess Holdings",539.18,+43.84,+42.22%,+0.06%,+11.32%,+33.52%
MLM,"Martin Marietta Materials",265.63,+11.33,-5.01%,-0.27%,+28.13%,-1.03%
MMC,"Marsh & Mclennan Companies",114.64,+7.78,+2.90%,+10.81%,+0.56%,+6.08%
MMM,"3M Company",172.73,+6.40,-2.09%,+7.98%,+4.27%,+1.74%
MNST,"Monster Beverage Cp",84.78,+42.57,+33.41%,+10.72%,+0.28%,+41.73%
MO,"Altria Group",39.83,-16.95,-20.20%,+10.39%,-9.33%,-19.86%
MOS,"Mosaic Company",21.96,+24.89,+1.48%,+18.70%,+16.13%,+15.28%
MPC,"Marathon Petroleum Corp",38.88,-7.43,-35.47%,+31.80%,+4.83%,-35.88%
MRK,"Merck & Company",80.39,-7.16,-11.61%,+6.89%,-6.14%,-7.79%
MRO,"Marathon Oil Corp",5.92,-39.54,-56.41%,+49.49%,+9.83%,-49.18%
MS,"Morgan Stanley",61.83,+39.09,+20.95%,+28.41%,+16.90%,+24.96%
MSCI,"MSCI Inc",409.42,+54.14,+58.58%,+17.03%,+9.56%,+57.96%
MSFT,"Microsoft Corp",214.07,+37.25,+35.75%,+5.73%,-6.48%,+41.41%
MSI,"Motorola Solutions",171.53,+12.48,+6.45%,+8.52%,+11.69%,+2.53%
MTB,"M&T Bank Corp",116.49,-23.46,-31.38%,+12.46%,+9.48%,-29.29%
MTD,"Mettler-Toledo International",1150.04,+61.78,+44.97%,+15.24%,+18.98%,+59.86%
MU,"Micron Technology",64.09,+45.29,+19.17%,+27.31%,+40.27%,+34.90%
MXIM,"Maxim Integrated",83.04,+55.49,+35.00%,+19.22%,+18.26%,+46.53%
NCLH,"Norwegian Cruise Ord",22.87,-29.91,-60.85%,+37.52%,+29.28%,-57.36%
NDAQ,"Nasdaq Inc",127.99,+21.82,+19.51%,+5.79%,-2.92%,+22.13%
NEE,"Nextera Energy",73.59,+26.07,+21.56%,+0.52%,+5.30%,+25.89%
NEM,"Newmont Mining Corp",58.82,+39.58,+35.37%,-6.40%,-11.83%,+53.18%
NFLX,"Netflix Inc",490.7,+49.39,+51.65%,+3.14%,-6.34%,+55.95%
NI,"NiSource Inc",24.2,-6.72,-13.07%,+5.35%,+8.28%,-8.51%
NKE,"Nike Inc",134.7,+47.17,+32.96%,+12.18%,+19.96%,+44.08%
NLOK,"Nortonlifelock Inc",18.23,-19.70,-28.57%,-11.38%,-24.20%,-26.79%
NLSN,"Nielsen Holdings Plc",16.17,-11.01,-20.34%,+19.69%,+3.72%,-17.29%
NOC,"Northrop Grumman Corp",302.26,-13.44,-12.13%,+4.29%,-12.32%,-14.07%
NOV,National-Oilwell,12.26,-28.62,-51.06%,+45.95%,-0.49%,-45.63%
NOW,"Servicenow Inc",534.55,+97.02,+89.34%,+7.43%,+9.57%,+88.86%
NRG,"NRG Energy",32.75,-14.78,-17.61%,+3.57%,-4.49%,-17.57%
NSC,"Norfolk Southern Corp",237.02,+34.48,+22.09%,+13.34%,+10.23%,+22.49%
NTAP,"Netapp Inc",53.31,+0.53,-14.36%,+21.46%,+16.55%,-12.02%
NTRS,"Northern Trust Corp",93.12,-3.82,-12.35%,+18.97%,+10.98%,-13.17%
NUE,"Nucor Corp",53.7,+8.19,-4.58%,+12.44%,+16.76%,-4.72%
NVDA,"Nvidia Corp",536.06,+137.87,+127.82%,+6.92%,+1.93%,+147.33%
NVR,"NVR Inc",3997.18,+11.96,+4.96%,+1.12%,-4.99%,+5.41%
NWL,"Newell Rubbermaid Inc",21.26,+25.34,+10.61%,+20.39%,+31.07%,+10.61%
NWS,"News Cp Cl B",17.81,+49.78,+22.74%,+36.79%,+16.86%,+35.23%
NWSA,"News Cp Cl A",17.65,+50.64,+24.82%,+34.42%,+15.70%,+37.03%
O,"Realty Income Corp",59.97,-4.43,-18.55%,+3.65%,-5.47%,-21.74%
ODFL,"Old Dominion Freight Line Inc",203.36,+63.89,+60.73%,+6.82%,+1.52%,+59.21%
OKE,"Oneok Inc",35.87,+1.81,-52.60%,+23.69%,+27.74%,-49.51%
OMC,"Omnicom Group Inc",63,-9.63,-22.24%,+33.47%,+14.32%,-20.73%
ORCL,"Oracle Corp",57.72,+7.29,+8.95%,+2.87%,-0.28%,+2.81%
ORLY,"O'Reilly Automotive",442.44,+9.99,+0.95%,+1.34%,-4.43%,+0.04%
OTIS,"Otis Worldwide Corp [Otis/I]",66.94,+50.37,+47.93%,+9.24%,+5.27%,+47.93%
OXY,"Occidental Petroleum Corp",15.76,-41.09,-61.76%,+72.62%,+20.03%,-59.14%
PAYC,"Paycom Software Inc",417.08,+58.27,+57.53%,+14.55%,+39.10%,+50.67%
PAYX,"Paychex Inc",93.15,+32.40,+9.51%,+13.25%,+20.49%,+8.16%
PBCT,"People's United Finl",12.4,-22.80,-26.63%,+16.21%,+16.00%,-24.85%
PCAR,"Paccar Inc",87.06,+13.46,+10.06%,+1.97%,+0.66%,+6.99%
PEAK,"Healthpeak Properties Inc",28.86,-13.73,-16.28%,+7.01%,+1.41%,-17.26%
PEG,"Public Service Enterprise Group Inc",58.28,+6.40,-1.30%,+0.22%,+11.73%,-1.74%
PEP,"Pepsico Inc",144.23,+8.48,+5.53%,+8.21%,+3.07%,+6.18%
PFE,"Pfizer Inc",38.31,+3.49,-2.22%,+7.98%,+1.06%,-0.55%
PFG,"Principal Financial Group Inc",49.79,+7.14,-9.47%,+26.95%,+12.32%,-9.64%
PG,"Procter & Gamble Company",138.87,+14.87,+11.18%,+1.29%,+0.07%,+13.77%
PGR,"Progressive Corp",87.11,+15.55,+20.33%,-5.21%,-7.01%,+19.25%
PH,"Parker-Hannifin Corp",267.26,+60.00,+29.85%,+28.27%,+26.98%,+34.44%
PHM,Pultegroup,43.63,+32.38,+12.45%,+7.04%,-3.73%,+10.04%
PKG,"Packaging Corp of America",130,+28.82,+16.08%,+13.55%,+27.11%,+16.18%
PKI,Perkinelmer,133,+49.77,+36.97%,+2.66%,+13.76%,+43.16%
PLD,"Prologis Inc",100.05,+3.54,+12.24%,+0.86%,-2.38%,+9.28%
PM,"Philip Morris International Inc",75.75,-3.61,-10.98%,+6.66%,-6.18%,-8.66%
PNC,"PNC Bank",138.07,+2.51,-13.51%,+23.41%,+22.89%,-9.88%
PNR,"Pentair Ltd",51.82,+44.21,+12.97%,+4.14%,+13.05%,+16.84%
PNW,"Pinnacle West Capital Corp",81.85,-2.17,-8.98%,+0.34%,+11.39%,-6.34%
POOL,"Pool Corp",346.11,+67.47,+62.97%,-1.06%,+4.60%,+67.65%
PPG,"PPG Industries",146.77,+26.89,+9.95%,+13.14%,+20.19%,+13.92%
PPL,"PPL Corp",28.42,-10.31,-20.79%,+3.35%,+2.53%,-16.49%
PRGO,"Perrigo Company",48.22,-8.41,-6.66%,+9.92%,-8.71%,-5.88%
PRU,"Prudential Financial Inc",75.62,-9.16,-19.33%,+18.12%,+8.59%,-19.23%
PSA,"Public Storage",224.46,+9.06,+5.40%,-2.01%,+5.16%,+6.54%
PSX,"Phillips 66",60.58,-42.02,-45.62%,+29.83%,-1.96%,-47.19%
PVH,"Phillips-Van Heusen Corp",79.49,-6.02,-24.40%,+36.37%,+38.87%,-18.02%
PWR,"Quanta Services",68.34,+100.03,+67.87%,+9.47%,+32.98%,+64.12%
PXD,"Pioneer Natural Resources Company",100.58,-4.91,-33.55%,+26.42%,-4.75%,-21.32%
PYPL,"Paypal Holdings",214.12,+108.82,+97.95%,+15.04%,+4.71%,+98.24%
QCOM,"Qualcomm Inc",147.17,+95.39,+66.80%,+19.30%,+24.51%,+76.15%
QRVO,"Qorvo Inc",156.68,+62.58,+34.80%,+23.02%,+21.18%,+50.35%
RCL,"Royal Caribbean Cruises Ltd",78.81,-7.28,-40.97%,+39.68%,+12.39%,-34.34%
RE,"Everest Re Group",227.33,-9.49,-17.88%,+15.35%,+2.55%,-16.19%
REG,"Regency Centers Corp",45.58,-25.26,-27.75%,+28.07%,+12.71%,-29.92%
REGN,"Regeneron Pharmaceuticals",516.03,+23.28,+37.43%,-5.06%,-14.37%,+39.85%
RF,"Regions Financial Corp",15.27,+0.67,-11.01%,+14.81%,+30.40%,-8.23%
RHI,"Robert Half International Inc",64.18,+25.27,+1.63%,+26.61%,+18.87%,+10.27%
RJF,"Raymond James Financial",90.95,+13.62,+1.67%,+18.98%,+18.55%,+1.26%
RL,"Ralph Lauren Corp",85.75,-18.14,-26.85%,+28.27%,+20.45%,-20.11%
RMD,"Resmed Inc",209.6,+45.23,+35.25%,+9.20%,+16.30%,+40.11%
ROK,"Rockwell Automation Inc",255.56,+42.95,+26.10%,+7.78%,+9.56%,+30.49%
ROL,"Rollins Inc",57.18,+65.90,+72.44%,-1.16%,+3.93%,+59.50%
ROP,"Roper Industries",427,+24.38,+20.54%,+14.99%,-0.74%,+18.49%
ROST,"Ross Stores Inc",107.52,+10.93,-7.64%,+26.24%,+14.59%,-7.43%
RSG,"Republic Services",96.72,+13.01,+7.91%,+9.70%,+4.09%,+9.10%
RTX,"Raytheon Technologies Corp",71.72,-11.09,-18.83%,+32.03%,+15.23%,-18.05%
SBAC,"SBA Communications",287.18,+14.36,+19.17%,-1.10%,-6.21%,+21.44%
SBUX,"Starbucks Corp",98.02,+24.70,+11.49%,+12.72%,+15.32%,+14.74%
SCHW,"The Charles Schwab Corp",48.78,+17.87,+2.57%,+18.66%,+34.45%,-1.45%
SEE,"Sealed Air Corp",45.06,+25.02,+13.13%,+13.82%,+10.23%,+19.43%
SHW,"Sherwin-Williams Company",747.63,+38.61,+28.12%,+8.67%,+10.61%,+28.21%
SIVB,"Svb Financial Group",344.86,+55.72,+37.37%,+18.63%,+35.23%,+48.82%
SJM,"J.M. Smucker Company",117.2,+10.45,+12.55%,+4.46%,-2.05%,+11.52%
SLB,"Schlumberger N.V.",20.79,-20.87,-48.28%,+39.16%,+7.05%,-42.57%
SLG,"SL Green Realty Corp",57.9,-31.18,-36.98%,+35.25%,+18.38%,-32.15%
SNA,"Snap-On Inc",175.85,+14.64,+3.81%,+11.63%,+16.97%,+9.59%
SNPS,"Synopsys Inc",227.5,+69.46,+63.43%,+6.38%,+3.65%,+61.30%
SO,"Southern Company",59.85,+0.68,-6.04%,+4.18%,+14.17%,-3.45%
SPG,"Simon Property Group",82.57,-32.82,-44.57%,+31.46%,+18.23%,-45.39%
SPGI,"S&P Global Inc",351.78,+28.14,+28.83%,+9.00%,-4.10%,+32.92%
SRE,"Sempra Energy",127.48,-8.52,-15.84%,+1.69%,+4.22%,-13.44%
STE,"Steris Corp",193.81,+33.67,+27.16%,+9.38%,+22.94%,+28.23%
STT,"State Street Corp",70.48,+0.25,-10.90%,+19.66%,+0.53%,-6.15%
STX,"Seagate Tech Ord Shs",58.81,+11.15,-1.16%,+22.98%,+26.20%,-1.46%
STZ,"Constellation Brands Inc",205.84,+22.04,+8.48%,+24.58%,+11.04%,+10.63%
SWK,"Stanley Black & Decker Inc",184.31,+34.44,+11.20%,+10.90%,+11.35%,+16.84%
SWKS,"Skyworks Solutions",141.17,+38.50,+16.79%,-0.08%,-1.71%,+43.61%
SYF,"Synchrony Financial",30.47,+15.84,-15.38%,+21.78%,+18.19%,-18.55%
SYK,"Stryker Corp",233.4,+20.53,+11.17%,+15.54%,+17.75%,+13.93%
SYY,"Sysco Corp",71.29,-0.20,-16.66%,+28.89%,+15.19%,-11.50%
T,"AT&T Inc",28.75,-21.51,-26.43%,+6.40%,-4.29%,-23.09%
TAP,"Molson Coors Brewing Company",46,+1.09,-14.66%,+30.46%,+21.40%,-8.87%
TDG,"Transdigm Group Inc",579.19,+28.81,+3.43%,+21.32%,+14.29%,+2.13%
TDY,"Teledyne Technologies Inc",377.94,+16.11,+9.06%,+22.25%,+19.43%,+10.51%
TEL,"Te Connectivity Ltd",113.97,+38.38,+18.92%,+17.64%,+16.37%,+22.93%
TER,"Teradyne Inc",110.34,+84.83,+61.81%,+25.60%,+28.71%,+76.29%
TFC,"Truist Financial Corp",46.42,-9.94,-17.58%,+10.21%,+17.25%,-15.17%
TFX,"Teleflex Inc",382.75,+12.18,+1.68%,+20.27%,-0.59%,+8.32%
TGT,"Target Corp",179.53,+60.36,+40.03%,+17.94%,+19.01%,+43.61%
TIF,"Tiffany & Company",131.48,+1.73,-1.62%,+0.49%,+6.13%,-1.73%
TJX,"TJX Companies",63.51,+21.70,+4.01%,+25.02%,+15.28%,+3.89%
TMO,"Thermo Fisher Scientific Inc",464.98,+48.93,+43.13%,-1.72%,+9.54%,+48.11%
TMUS,"T-Mobile US",132.94,+74.96,+69.52%,+21.33%,+14.35%,+69.24%
TPR,"Tapestry Inc",28.32,+37.28,+5.01%,+27.40%,+90.32%,+5.32%
TROW,"T Rowe Price Group",143.41,+20.54,+17.70%,+13.22%,+3.09%,+16.07%
TRV,"The Travelers Companies Inc",129.65,+4.56,-5.33%,+7.41%,+11.87%,-5.17%
TSCO,"Tractor Supply Company",140.81,+45.04,+50.70%,+5.71%,-4.15%,+49.10%
TSN,"Tyson Foods",65.2,-18.39,-28.38%,+13.93%,+2.02%,-27.47%
TT,"Trane Technologies Plc",146.24,+39.81,+10.02%,+10.16%,+21.56%,+11.54%
TTWO,"Take-Two Interacti",180.51,+52.20,+47.44%,+16.52%,+5.52%,+48.75%
TWTR,"Twitter Inc",46.51,+61.25,+45.12%,+12.45%,+13.25%,+50.47%
TXN,"Texas Instruments",161.25,+40.56,+25.69%,+11.52%,+12.38%,+34.14%
TXT,"Textron Inc",45.1,+16.68,+1.12%,+25.98%,+12.83%,-2.47%
TYL,"Tyler Technologies",427.6,+53.48,+42.52%,+11.24%,+26.65%,+47.36%
UA,"Under Armour Inc Cl C",14.55,+8.72,-24.14%,+18.97%,+59.19%,-15.90%
UAA,"Under Armour",16.57,+11.25,-23.29%,+19.73%,+63.25%,-12.28%
UAL,"United Airlines Holdings Inc",45.05,-36.71,-48.86%,+33.05%,+20.65%,-51.45%
UDR,"United Dominion Realty Trust",38.47,-11.05,-17.62%,+23.14%,+9.63%,-19.94%
UHS,"Universal Health Services",130.58,+11.73,-8.98%,+19.20%,+15.95%,-6.39%
ULTA,"Ulta Beauty Inc",275.4,+19.11,+8.79%,+33.19%,+16.19%,+17.76%
UNH,"Unitedhealth Group Inc",336.34,+29.10,+14.41%,+10.22%,+6.99%,+20.18%
UNM,"Unumprovident Corp",22.23,-7.98,-23.77%,+25.88%,+16.94%,-27.68%
UNP,"Union Pacific Corp",204.08,+24.36,+12.88%,+15.18%,+4.59%,+15.96%
UPS,"United Parcel Service",171.07,+58.63,+46.14%,+8.89%,+5.36%,+42.88%
URI,"United Rentals",226.98,+68.22,+36.10%,+27.31%,+24.35%,+48.30%
USB,"U.S. Bancorp",43.21,-16.97,-27.12%,+10.94%,+16.16%,-28.02%
V,"Visa Inc",210.35,+17.58,+11.95%,+15.76%,-2.48%,+14.00%
VAR,"Varian Medical Systems",173.98,+32.85,+22.51%,+0.68%,+0.71%,+30.10%
VFC,"V.F. Corp",83.4,+6.11,-16.32%,+24.11%,+22.76%,-5.81%
VIAC,"Viacomcbs Inc Cl B",35.28,+19.85,-15.94%,+23.49%,+26.05%,-12.63%
VLO,"Valero Energy Corp",53.77,-42.31,-42.58%,+39.26%,-2.04%,-43.69%
VMC,"Vulcan Materials Company",139.65,+9.67,-3.01%,-3.58%,+13.64%,-1.56%
VNO,"Vornado Realty Trust",38.91,-38.07,-41.49%,+26.62%,+4.71%,-39.74%
VNT,"Vontier Corp [Vnt/I]",33.17,N/A,-2.44%,+15.41%,-2.44%,-2.44%
VRSK,"Verisk Analytics Inc",198.31,+36.50,+32.79%,+11.43%,+5.85%,+34.47%
VRSN,"Verisign Inc",200.72,+4.01,+4.17%,+5.25%,-3.56%,+5.23%
VRTX,"Vertex Pharmaceutic",227.75,-5.66,+4.02%,+9.31%,-15.64%,+2.71%
VTR,"Ventas Inc",47.91,-5.53,-17.02%,+21.38%,+12.15%,-17.84%
VTRS,"Viatris Inc",16.82,N/A,+8.24%,+8.24%,+8.24%,+8.24%
VZ,"Verizon Communications Inc",60.41,+2.20,-1.61%,+6.00%,+1.94%,+0.28%
WAB,"Wabtec Corp",73.3,+9.98,-5.78%,+23.61%,+9.26%,-6.71%
WAT,"Waters Corp",232.01,+10.21,-0.70%,+4.12%,+6.71%,+4.48%
WBA,"Walgreens Boots Alliance",38.01,-31.79,-35.53%,+11.66%,-1.93%,-36.22%
WDC,"Western Digital Cp",44.88,-4.40,-29.29%,+18.95%,+18.60%,-10.83%
WEC,"Wisconsin Energy Corp",94.95,+12.32,+2.95%,-5.57%,+1.42%,+7.11%
WELL,"Welltower Inc",62.98,-16.32,-22.99%,+17.13%,+5.94%,-25.53%
WFC,"Wells Fargo & Company",27.35,-42.64,-49.16%,+27.51%,+10.77%,-49.78%
WHR,"Whirlpool Corp",194.61,+67.62,+31.91%,+5.22%,+8.79%,+36.00%
WLTW,"Willis Towers WT",208.19,+4.19,+3.09%,+14.09%,+1.23%,+5.98%
WM,"Waste Management",119.13,+10.37,+4.54%,+10.40%,+4.49%,+5.51%
WMB,"Williams Companies",20.98,+7.52,-11.55%,+9.33%,-0.43%,-7.66%
WMT,"Wal-Mart Stores",152.79,+33.29,+28.57%,+10.12%,+8.90%,+28.30%
WRB,"W.R. Berkley Corp",65.13,-0.83,-5.75%,+8.33%,+3.38%,-4.22%
WRK,"Westrock Company",42.21,+15.83,-1.63%,+12.41%,+35.90%,+4.66%
WST,"West Pharmaceutical Services",275.16,+80.83,+83.04%,+1.14%,+1.31%,+87.15%
WU,"Western Union Company",22.56,-12.14,-15.76%,+16.05%,-5.84%,-16.07%
WY,"Weyerhaeuser Company",29.04,+12.93,-3.84%,+6.41%,-5.99%,-1.59%
WYNN,"Wynn Resorts Ltd",100.5,-4.98,-27.63%,+38.75%,+9.78%,-16.84%
XEL,"XCEL Energy Inc",67.36,+12.47,+6.10%,-3.81%,-1.88%,+9.55%
XLNX,"Xilinx Inc",145.55,+78.57,+48.87%,+22.63%,+38.74%,+56.88%
XOM,"Exxon Mobil Corp",38.13,-39.44,-45.36%,+16.89%,-6.29%,-44.03%
XRAY,"Dentsply Sirona Inc",50.89,-1.72,-10.07%,+7.84%,+12.29%,-9.99%
XRX,"Xerox Corp",21.89,-16.14,-40.63%,+25.95%,+12.08%,-43.77%
XYL,"Xylem Inc",95.97,+37.97,+21.80%,+10.13%,+17.07%,+23.82%
YUM,"Yum! Brands",105.8,+18.08,+5.03%,+13.36%,+8.57%,+5.10%
ZBH,"Zimmer Biomet Holdings",149.12,+10.79,-0.37%,+12.88%,+5.26%,+2.64%
ZBRA,"Zebra Technologies",378.42,+65.43,+48.14%,+33.42%,+35.07%,+50.80%
ZION,"Zions Bancorp",38.59,-12.74,-25.67%,+19.58%,+16.87%,-22.48%
ZTS,"Zoetis Inc Cl A",160.38,+31.06,+21.18%,+1.15%,+0.24%,+33.07%
"Downloaded from Barchart.com as of 11-30-2020 07:36pm CST"
