"Date","Account value"
"01/01/2020","1,458.69"
"01/02/2020","1,175.25"
"01/03/2020","1,324.56"
"01/06/2020","1,508.64"
"01/07/2020","1,794.50"
"01/08/2020","1,864.86"
"01/09/2020","1,959.34"
"01/10/2020","2,842.90"
"01/13/2020","2,856.95"
"01/14/2020","2,785.51"
"01/15/2020","3,283.79"
"01/16/2020","3,534.07"
"01/17/2020","3,185.40"
"01/20/2020","3,185.40"
"01/21/2020","3,137.79"
"01/22/2020","4,098.34"
"01/23/2020","4,167.80"
"01/24/2020","4,234.04"
"01/27/2020","3,054.13"
"01/28/2020","3,958.07"
"01/29/2020","3,158.55"
"01/30/2020","3,043.92"
"01/31/2020","2,482.16"
"02/03/2020","2,992.65"
"02/04/2020","3,471.61"
"02/05/2020","3,890.15"
"02/06/2020","4,193.25"
"02/07/2020","3,822.96"
"02/10/2020","3,626.44"
"02/11/2020","3,439.24"
"02/12/2020","3,498.85"
"02/13/2020","3,457.57"
"02/14/2020","4,310.18"
"02/17/2020","4,310.18"
"02/18/2020","4,251.38"
"02/19/2020","4,517.06"
"02/20/2020","4,885.57"
"02/21/2020","6,148.43"
"02/24/2020","6,047.78"
"02/25/2020","5,509.11"
"02/26/2020","5,913.11"
"02/27/2020","6,442.19"
"02/28/2020","6,712.34"
"03/02/2020","7,365.83"
"03/03/2020","6,160.92"
"03/04/2020","6,964.46"
"03/05/2020","7,586.95"
"03/06/2020","8,033.67"
"03/09/2020","8,798.54"
"03/10/2020","9,526.91"
"03/11/2020","9,890.82"
"03/12/2020","10,599.22"
"03/13/2020","11,741.71"
"03/16/2020","12,531.03"
"03/17/2020","15,291.44"
"03/18/2020","16,050.44"
"03/19/2020","17,765.82"
"03/20/2020","20,430.86"
"03/23/2020","16,542.20"
"03/24/2020","12,134.33"
"03/25/2020","13,077.31"
"03/26/2020","12,611.22"
"03/27/2020","11,902.56"
"03/30/2020","11,988.60"
"03/31/2020","13,243.44"
"04/01/2020","8,361.77"
"04/02/2020","10,440.92"
"04/03/2020","12,245.32"
"04/06/2020","13,144.68"
"04/07/2020","10,880.78"
"04/08/2020","12,637.56"
"04/09/2020","14,017.20"
"04/10/2020","14,017.20"
"04/13/2020","12,447.56"
"04/14/2020","10,706.50"
"04/15/2020","8,014.45"
"04/16/2020","8,668.57"
"04/17/2020","9,256.09"
"04/20/2020","8,400.27"
"04/21/2020","5,755.01"
"04/22/2020","7,443.27"
"04/23/2020","7,627.35"
"04/24/2020","5,751.12"
"04/27/2020","5,581.11"
"04/28/2020","5,328.15"
"04/29/2020","5,212.64"
"04/30/2020","5,583.49"
"05/01/2020","5,769.73"
"05/04/2020","5,705.28"
"05/05/2020","5,272.52"
"05/06/2020","5,423.69"
"05/07/2020","6,269.85"
"05/08/2020","4,531.58"
"05/11/2020","5,571.25"
"05/12/2020","5,398.15"
"05/13/2020","5,133.57"
"05/14/2020","5,579.45"
"05/15/2020","6,095.20"
"05/18/2020","6,488.52"
"05/19/2020","6,160.09"
"05/20/2020","6,760.94"
"05/21/2020","6,174.64"
"05/22/2020","5,274.20"
"05/25/2020","5,274.20"
"05/26/2020","5,877.40"
"05/27/2020","5,884.30"
"05/28/2020","5,452.03"
"05/29/2020","4,890.73"
"06/01/2020","4,779.68"
"06/02/2020","4,663.23"
"06/03/2020","4,741.39"
"06/04/2020","4,772.75"
"06/05/2020","4,935.33"
"06/08/2020","5,126.13"
"06/09/2020","5,025.35"
"06/10/2020","4,837.66"
"06/11/2020","4,423.59"
"06/12/2020","4,516.69"
"06/15/2020","4,562.40"
"06/16/2020","4,593.17"
"06/17/2020","4,509.52"
"06/18/2020","4,556.84"
"06/19/2020","4,520.89"
"06/22/2020","4,503.95"
"06/23/2020","4,519.69"
"06/24/2020","4,366.30"
"06/25/2020","4,430.65"
"06/26/2020","4,293.42"
"06/29/2020","4,378.44"
"06/30/2020","4,400.00"
"07/01/2020","4,371.82"
"07/02/2020","4,374.79"
"07/03/2020","4,374.79"
"07/06/2020","4,470.12"
"07/07/2020","4,415.18"
"07/08/2020","4,430.91"
"07/09/2020","4,339.08"
"07/10/2020","4,483.76"
"07/13/2020","4,473.87"
"07/14/2020","4,522.08"
"07/15/2020","4,601.22"
"07/16/2020","4,580.01"
"07/17/2020","4,534.43"
"07/20/2020","4,508.41"
"07/21/2020","4,594.42"
"07/22/2020","4,578.82"
"07/23/2020","4,576.54"
"07/24/2020","4,538.90"
"07/27/2020","4,577.37"
"07/28/2020","4,661.88"
"07/29/2020","4,590.85"
"07/30/2020","4,567.24"
"07/31/2020","4,653.45"
"08/03/2020","4,682.85"
"08/04/2020","4,915.69"
"08/05/2020","4,705.82"
"08/06/2020","4,522.94"
"08/07/2020","4,547.23"
"08/10/2020","4,441.29"
"08/11/2020","4,645.20"
"08/12/2020","4,539.58"
"08/13/2020","4,033.22"
"08/14/2020","4,035.29"
"08/17/2020","4,183.04"
"08/18/2020","4,101.17"
"08/19/2020","4,107.60"
"08/20/2020","3,948.20"
"08/21/2020","3,876.57"
"08/24/2020","3,949.19"
"08/25/2020","3,944.63"
"08/26/2020","3,923.06"
"08/27/2020","3,934.29"
"08/28/2020","3,969.26"
"08/31/2020","3,933.33"


My Account Chart balance information does not include short options value from 1/1/2017-2/23/2018 for legacy 
Scottrade accounts and may not include price corrections submitted by the exchanges after market close. 
Please see the Detailed Balances page or your account statements for complete balance information.